CustomerId,Geography,Gender,Age,Tenure,Balance,EstimatedSalary,NumOfProducts,Credit_Card_Status,Engagement_Status,Product_Depth_Segment,Customer_Risk_Segment,Relationship_Strength_Index,Churn_Status
15599152,France,Male,31,1,156111.24,134790.74,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15694376,Germany,Female,64,3,153469.26,146573.66,3,No Credit Card,Inactive Member,High Product Load,At-Risk Premium,35,Churned
15603319,France,Male,29,2,151352.74,197145.89,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15751748,France,Male,51,2,148222.65,156953.54,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Churned
15771059,Germany,Female,34,2,148200.72,194584.48,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15707199,France,Male,36,0,148159.71,55835.66,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15722548,France,Male,48,0,148116.48,116973.48,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15699492,Germany,Female,27,2,147435.96,187508.06,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15799924,Spain,Male,43,1,147167.25,141679.73,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15636089,Germany,Female,51,1,145751.03,109718.44,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Churned
15739357,Spain,Male,30,2,145127.85,7554.68,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15594576,France,Male,32,1,144875.71,187740.04,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15596013,Germany,Female,58,1,143212.22,102628.56,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Churned
15793307,Spain,Female,41,4,142880.28,185541.2,3,No Credit Card,Inactive Member,High Product Load,At-Risk Premium,35,Churned
15646609,France,Male,33,1,142645.43,69132.66,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15737832,Spain,Male,45,0,139825.56,170984.97,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Churned
15746139,France,Male,33,2,139451.67,63142.12,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15721303,Spain,Male,34,1,137523.02,24761.36,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15660316,Germany,Female,34,1,135549.9,149471.13,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Churned
15690540,Spain,Female,41,1,134177.06,177506.66,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15611767,Germany,Female,52,0,133723.43,4859.59,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Churned
15738588,Germany,Female,37,2,133200.09,71433.88,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15642787,France,Male,37,1,133043.66,111243.09,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15574480,Spain,Male,31,1,132862.59,158054.49,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15692819,Germany,Male,32,1,132178.67,11865.76,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15672594,France,Female,60,0,131778.08,10703.53,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Churned
15755196,France,Female,49,2,131394.56,194365.76,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Churned
15761053,Germany,Male,48,2,131326.47,1140.02,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Churned
15679611,Spain,Female,37,2,130404.92,34548.74,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15583764,Germany,Male,31,1,130240.33,96546.55,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15700540,Germany,Female,38,2,129893.56,102076.03,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15694510,France,Male,45,1,129855.32,24218.65,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15811690,Germany,Male,54,2,128966.13,18633.4,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Churned
15662098,Spain,Male,41,3,128808.65,113677.53,3,No Credit Card,Inactive Member,High Product Load,At-Risk Premium,35,Churned
15780212,France,Male,37,4,212692.97,176395.02,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15638989,France,Female,25,5,190066.54,51345.39,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Churned
15696605,France,Male,49,4,180614.04,523.0,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15689594,France,Male,29,5,179539.2,112010.02,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15689616,Spain,Male,34,5,168094.01,20058.61,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15656100,France,Female,49,5,167962.7,140201.21,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15680685,France,Male,30,3,165257.2,134822.05,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15659364,Spain,Male,23,5,164902.43,141152.28,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15603554,France,Female,45,0,164649.52,49915.52,3,Has Credit Card,Inactive Member,High Product Load,At-Risk Premium,40,Churned
15662243,France,Male,50,5,162702.35,150548.5,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Churned
15637476,Germany,Female,57,5,162448.69,9221.78,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Churned
15570485,Spain,Male,40,4,161766.87,92378.54,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15762277,France,Male,47,5,158623.14,83499.89,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Churned
15639077,France,Female,30,2,158584.82,142342.55,3,Has Credit Card,Inactive Member,High Product Load,At-Risk Premium,40,Churned
15811927,France,Female,38,3,157658.36,19658.43,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15702138,France,Female,22,3,156834.34,44374.44,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15716155,France,Female,36,5,156021.31,122662.98,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15748552,Germany,Male,37,4,155994.15,143665.44,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15625964,France,Female,43,5,153313.67,170563.73,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15577831,Germany,Male,41,4,152532.3,10779.69,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15697310,Germany,Female,28,3,152264.81,64242.31,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15790067,Spain,Male,39,3,151914.93,56459.45,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15737748,Spain,Female,33,3,151233.62,199336.63,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15614365,Germany,Male,31,3,150604.52,5566.6,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15602312,Spain,Male,33,5,150092.8,71862.79,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15626012,France,Male,26,4,149879.66,50016.17,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15623210,Germany,Female,55,8,149349.58,137519.92,3,No Credit Card,Inactive Member,High Product Load,At-Risk Premium,40,Churned
15781777,France,Male,33,3,148659.48,42437.75,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15778320,Germany,Female,40,5,148495.64,158853.98,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15647975,Germany,Male,26,5,147037.32,141763.26,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15782364,Spain,Female,39,3,146408.68,72993.67,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15756321,Spain,Female,52,5,144772.69,98302.57,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Churned
15721377,France,Female,34,3,144751.81,166472.81,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15744873,Germany,Female,48,5,143595.87,101314.65,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Churned
15663161,Germany,Female,51,5,143139.87,47795.43,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Churned
15591489,France,Male,26,5,142662.68,60285.3,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15616525,Spain,Male,31,4,141356.47,137985.69,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15696989,Germany,Female,52,8,139493.25,150093.32,3,No Credit Card,Inactive Member,High Product Load,At-Risk Premium,40,Churned
15685320,France,Male,36,3,139180.2,123880.19,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15644280,France,Male,45,4,138825.19,10828.78,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15722004,France,Female,31,4,138317.94,61843.73,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15677087,France,Female,39,5,138106.75,19596.73,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15566894,France,Male,39,3,137817.52,83997.79,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15792102,France,Female,42,3,137781.65,199316.19,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15782630,France,Male,35,5,137482.19,62389.35,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15710671,France,Male,34,3,137361.96,183682.09,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15791535,France,Male,28,5,137222.77,39608.58,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15651280,Germany,Male,35,5,136857.0,84509.57,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15691119,Germany,Male,68,4,136525.99,175399.14,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15799357,France,Male,35,5,136364.46,142754.71,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15720284,Germany,Female,37,4,135927.06,180890.4,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15710315,Germany,Male,29,4,135759.4,112813.79,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Churned
15798398,France,Female,36,4,135438.4,190627.01,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15716609,Germany,Male,54,3,134388.11,49954.79,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Churned
15787189,Germany,Male,60,8,134250.17,153046.16,3,No Credit Card,Inactive Member,High Product Load,At-Risk Premium,40,Churned
15703793,Germany,Male,58,2,133745.44,28373.86,4,Has Credit Card,Inactive Member,High Product Load,At-Risk Premium,40,Churned
15643635,Spain,Male,32,5,133705.74,134455.84,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15597536,Spain,Male,45,5,133618.01,135244.87,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15730339,Spain,Male,30,3,133446.34,3154.95,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15638983,France,Female,38,5,133189.4,127388.06,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15761102,Spain,Female,32,4,132835.56,136877.24,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15798975,Germany,Male,48,4,132403.56,36091.91,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Churned
15656613,France,Female,34,3,131283.11,130500.65,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15607347,France,Male,22,5,130056.23,121894.31,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Churned
15678882,Germany,Male,37,3,129965.18,19374.08,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15640442,France,Male,31,4,129722.57,41176.6,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15571002,France,Female,44,4,129605.99,69865.49,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15574122,France,Male,34,5,129278.43,165562.84,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15775203,France,Male,45,3,129209.48,60151.77,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15652693,France,Female,26,4,129109.02,149814.68,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Churned
15795519,Germany,Female,18,3,128743.8,197322.13,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15669281,Spain,Male,38,3,128718.78,114793.45,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Retained
15681007,France,Female,35,2,128548.49,75478.95,4,Has Credit Card,Inactive Member,High Product Load,At-Risk Premium,40,Churned
15591036,Germany,Female,43,3,127940.47,125140.72,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,40,Churned
15603851,France,Male,32,7,127785.17,184464.7,4,No Credit Card,Inactive Member,High Product Load,At-Risk Premium,40,Churned
15594408,Spain,Female,48,2,213146.2,75161.25,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15671256,France,Female,35,1,211774.31,188574.12,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15627971,France,Female,32,8,206663.75,16281.94,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15737509,Spain,Male,34,8,199229.14,68106.29,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15766458,France,Male,33,1,198113.86,69664.35,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15688409,France,Female,28,2,191864.51,108457.99,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15616530,France,Male,36,6,188455.19,47031.4,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15721460,France,Male,60,8,185648.56,192156.54,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15616152,France,Female,47,1,185513.67,27438.83,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15626787,Spain,Female,31,8,185078.26,115337.74,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15747503,Spain,Male,44,0,184552.12,68860.3,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15600911,France,Male,33,2,182888.08,3061.0,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15779182,Spain,Male,46,8,182364.53,139266.48,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15775104,France,Female,38,1,182065.85,49503.5,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15728006,France,Male,40,2,180516.9,180002.42,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15774151,Spain,Female,41,7,179915.85,14666.35,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15711251,France,Male,45,1,178827.79,60375.18,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15573319,Germany,Female,35,8,178317.6,197428.64,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15694200,France,Male,36,8,178111.82,58719.63,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15761713,France,Female,43,7,178074.33,110405.9,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15744914,Germany,Male,42,1,177728.55,105013.63,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15706005,France,Male,46,2,174701.05,90189.72,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15726289,France,Male,25,0,174400.36,42669.37,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15699797,France,Male,30,8,174356.13,31928.5,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15654562,Spain,Female,45,5,174088.3,5669.31,4,Has Credit Card,Inactive Member,High Product Load,At-Risk Premium,45,Churned
15678146,Spain,Female,24,7,173962.32,106457.11,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15809100,France,Female,32,2,172448.77,188083.77,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15795954,France,Male,35,2,172274.01,22374.97,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15632210,Germany,Male,25,2,171770.55,22745.5,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15774847,France,Male,50,6,171740.69,20893.61,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15792720,France,Male,33,6,171490.78,79099.64,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15601569,France,Female,40,2,171178.25,137980.58,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15756804,France,Female,48,1,170833.46,110510.28,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15672374,France,Male,52,8,170008.84,56407.42,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15610686,France,Male,63,8,169832.57,184107.26,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15571973,France,Female,38,2,169824.46,169291.7,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15648967,Germany,Female,64,1,169362.43,84760.32,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15705953,Spain,Male,51,0,169312.13,109078.35,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15580148,Germany,Male,40,5,168286.81,20451.99,3,Has Credit Card,Inactive Member,High Product Load,At-Risk Premium,45,Churned
15609676,France,Female,35,2,167924.95,43024.64,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15702541,France,Female,59,2,166968.28,159483.76,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15701605,France,Male,37,1,166115.42,67208.3,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15726557,France,Female,42,7,165679.92,32916.29,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15626135,France,Male,34,1,165312.27,155495.63,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15764432,Germany,Female,42,2,164307.77,48498.19,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15572361,Germany,Female,34,2,164011.48,199420.41,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15642063,France,Male,40,6,163505.16,90424.09,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15690898,France,Male,44,8,161889.79,75562.47,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15803947,Germany,Female,30,6,161378.02,71926.28,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15584580,France,Male,35,6,161111.45,13946.66,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15585047,France,Male,28,7,160376.61,196853.11,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15805909,Spain,Male,28,8,159900.38,22698.56,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15684196,France,Female,55,2,159441.27,100686.11,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15625929,France,Female,44,7,159316.64,24780.13,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15774250,France,Male,42,1,159024.71,100982.93,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15751185,Spain,Female,50,0,158633.61,193785.87,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15674442,France,Male,23,7,157761.56,147759.84,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15727489,Spain,Female,45,1,157320.51,62193.92,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15735687,Spain,Male,37,2,157084.99,134767.13,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15593795,Germany,Female,53,1,156674.2,118502.34,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15745250,France,Male,58,8,156652.13,25899.21,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15812766,Spain,Male,40,6,156111.08,190889.13,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15750258,France,Female,32,2,155663.31,97658.66,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15776128,France,Female,44,6,155114.9,133871.83,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15719991,Spain,Female,52,1,154733.97,80259.67,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15643903,France,Male,27,1,154483.98,156394.74,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15623536,Germany,Male,39,0,154439.86,171519.06,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15650018,France,Female,43,8,154100.3,114659.81,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15569764,Germany,Female,41,2,154007.21,158408.23,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15812040,France,Male,36,6,153880.15,135431.72,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15569098,France,Male,44,6,153548.12,35300.08,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15738828,Germany,Male,45,6,152880.97,162478.11,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15568963,Germany,Male,34,2,152797.9,175709.4,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15716082,Spain,Male,39,6,152685.4,183656.12,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15645200,Germany,Female,54,2,152508.99,187597.98,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15792228,France,Male,60,0,152335.7,126743.33,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15652218,France,Male,33,2,152302.72,71333.44,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15626507,France,Male,27,1,152283.39,183271.15,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15583303,France,Female,29,2,152265.43,34004.44,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15737265,Germany,Male,39,6,152182.83,161203.6,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15809515,Germany,Male,32,1,151922.94,8877.06,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15613749,Spain,Male,34,0,151839.26,102299.81,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15701042,Germany,Female,27,2,151027.56,170320.58,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15789611,Germany,Male,46,8,150836.92,64516.8,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15769353,France,Female,40,8,150490.32,166468.21,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15613017,Germany,Male,32,1,149814.54,31830.06,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15683625,France,Male,37,1,149762.08,20629.4,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15654456,Germany,Male,48,6,149726.08,88307.87,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15752375,Germany,Male,33,8,149564.61,149913.84,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15627517,Spain,Male,27,7,149400.27,167522.19,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15639552,Germany,Female,40,8,148897.02,105052.9,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15728838,France,Male,45,1,148600.91,143397.14,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15782688,Germany,Male,56,0,148507.24,46824.08,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15647292,France,Male,63,7,148368.02,118862.08,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15632503,France,Female,32,0,148326.09,191604.27,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Churned
15601627,France,Male,33,8,148163.57,122925.4,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
15577695,France,Male,41,2,148088.11,14083.12,1,Has Credit Card,Inactive Member,Single Product,At-Risk Premium,45,Retained
