CustomerId,Relationship_Strength_Index,Retention_Strength_Score,Retention_Strength_Tier,Engagement_Status,Product_Depth_Segment,Customer_Risk_Segment,NumOfProducts,Balance,Exited,Churn_Status,Bubble_Size
15705343,35,34.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15740406,60,19.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,113525.84,1,Churned Customer,7
15812513,60,19.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,103583.05,1,Churned Customer,7
15625092,50,15.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,101465.31,1,Churned Customer,7
15788131,35,9.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,1,Churned Customer,7
15638989,40,11.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,190066.54,1,Churned Customer,7
15623210,40,31.0,Critical Retention Risk,Inactive Member,High Product Load,At-Risk Premium,3,149349.58,1,Churned Customer,21
15678572,65,31.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,Standard Monitoring,2,99842.5,1,Churned Customer,14
15579262,30,22.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15761554,30,0.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,89299.81,1,Churned Customer,7
15776454,30,7.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,1,Churned Customer,7
15572158,20,18.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15646609,35,34.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,142645.43,0,Retained Customer,7
15566495,25,5.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,1,Churned Customer,7
15813067,50,15.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,110219.14,1,Churned Customer,7
15594133,35,9.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,1,Churned Customer,7
15772329,55,17.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,103741.14,1,Churned Customer,7
15701687,30,17.0,Critical Retention Risk,Inactive Member,High Product Load,High Product Load Risk,3,77526.66,1,Churned Customer,21
15584364,40,21.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,59486.31,1,Churned Customer,7
15736510,20,23.0,Critical Retention Risk,Inactive Member,High Product Load,High Product Load Risk,3,0.0,1,Churned Customer,21
15725141,50,15.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,109528.28,1,Churned Customer,7
15798895,45,13.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,55328.4,1,Churned Customer,7
15642391,40,11.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,109978.83,1,Churned Customer,7
15674433,35,34.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,115265.14,0,Retained Customer,7
15598894,50,30.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,122267.85,0,Retained Customer,7
